2003,SANTA CRUZ,17233,1855,9,20
2101,LAGO AGRIO,105044,3151,33,21
2102,GONZALO PIZARRO,10356,2245,5,21
2103,PUTUMAYO,9018,3551,3,21
2104,SHUSHUFINDI,50826,2506,20,21
2105,SUCUMBÍOS,3174,1517,2,21
2106,CASCALES,11744,1262,9,21
2107,CUYABENO,8852,3865,2,21
2201,FRANCISCO DE ORELLANA,95130,7083,13,22
2202,AGUARICO,6872,11294,1,22
2203,LA JOYA DE LOS SACHAS,52444,1202,44,22
2204,LORETO,27720,2151,13,22
2205,SANTO DOMINGO,441583,3455,128,23
2206,LA CONCORDIA,51386,324,158,23
2401,SANTA ELENA,186687,3595,52,24
2402,LA LIBERTAD,112247,25,444,24
2403,SALINAS,86801,68,1281,24
