nombre_parroquia,nro_pobladores,superficie_parroquia,densidad_poblacional
MATUS,786,74,11
PUELA,533,73,7
SAN ANTONIO DE BAYUSHIG,1097,4,283
LA CANDELARIA,389,89,4
BILBAO,249,25,10
CUMANDÁ,16602,159,104
MACHALA,301771,246,1228
EL RETIRO,4538,127,36
ARENILLAS,23919,260,92
CHACRAS,1926,97,20
PALMALES,3385,211,16
CARCABÓN,883,78,11
LA CUCA,2253,141,16
PACCHA,2509,49,51
AYAPAMBA,1413,100,14
CORDONCILLO,985,31,32
MILAGRO,435,3,154
SAN JOSÉ,468,2,192
SAN JUAN DE CERRO AZUL,302,96,3
BALSAS,6289,56,112
BELLAMARÍA,1586,13,124
CHILLA,2251,332,7
EL GUABO,35467,236,150
BARBONES,7364,69,107
LA IBERIA,4433,14,320
TENDALES,5388,106,51
RÍO BONITO,6884,155,44
HUAQUILLAS,56303,99,571
MARCABELÍ,6614,130,51
EL INGENIO,256,19,14
PASAJE,60966,131,465
BUENAVISTA,7744,41,188
CASACAY,2887,61,47
LA PEAÑA,4025,16,248
PROGRESO,4906,149,33
UZHCURRUMI,904,30,30
CAÑAQUEMADA,2165,27,80
PIÑAS,20479,120,171
CAPIRO,1820,145,13
LA BOCANA,1357,60,22
MOROMORO,1264,84,15
PIEDRAS,517,40,13
SAN ROQUE,1194,48,25
SARACAY,2775,117,24
PORTOVELO,11389,36,312
CURTINCAPA,538,17,31
MORALES,692,78,9
SALATÍ,937,152,6
SANTA ROSA,61493,142,434
BELLAVISTA,5047,52,97
JAMBELÍ,1246,326,4
LA AVANZADA,2435,66,37
SAN ANTONIO,1446,23,64
TORATA,2174,66,33
VICTORIA,3726,113,33
BELLAMARÍA,2732,108,25
ZARUMA,11592,17,678
ABAÑÍN,1333,76,18
ARCAPAMBA,970,14,68
GUANAZÁN,2195,181,12
GUIZHAGUIÑA,1832,157,12
HUERTAS,2310,47,49
MALVAS,963,10,94
MULUNCAY GRANDE,817,7,111
SINSAO,1594,45,35
SALVIAS,768,97,8
LA VICTORIA,3287,108,30
LA LIBERTAD,871,83,10
EL PARAÍSO,880,78,11
SAN ISIDRO,700,29,24
ESMERALDAS,170529,70,2422
CAMARONES,3949,167,24
CORONEL CARLOS CONCHA TORRES,2760,289,10
CHINCA,5109,224,23
MAJUA,3368,125,27
SAN MATEO,7975,180,44
TABIAZO,2789,139,20
TACHINA,6439,73,88
VUELTA LARGA,8930,78,115
VALDEZ,5848,97,60
ANCHAYACU,3075,219,14
ATAHUALPA,1388,220,6
BORBÓN,9079,200,45
LA TOLA,2949,172,17
LUIS VARGAS TORRES,535,765,1
MALDONADO,2100,58,36
PAMPANAL DE BOLÍVAR,1363,114,12
SAN FRANCISCO DE ONZOLE,1838,181,10
SANTO DOMINGO DE ONZOLE,3577,681,5
SELVA ALEGRE,1466,50,30
TELEMBÍ,6316,1427,4
COLÓN ELOY DEL MARÍA,2200,72,31
SAN JOSÉ DE CAYAPAS,1433,120,12
TIMBIRÉ,1153,22,53
